proposal_rank,name,expression,reason,samples,coverage,ic_mean,ic_std,sharpe,annual_return,max_drawdown,score
7,LOCAL_MUT_007,"Rsquare($close, 2)",local_fallback_mutation,2980,0.998324958123953,0.20052522690733457,0.3999462077339319,1.0276358981729385,0.012720933599639883,-0.0035208422071683065,25.090663127053087
13,LOCAL_MUT_013,"(Std($close, 60)-Std($close, 30))/$close",local_fallback_mutation,2980,0.998324958123953,0.04217502948271585,0.4944584732330467,1.1546464295575147,0.4368663565088713,-0.21766526587095403,6.215649967483416
57,LOCAL_MUT_057,"(Mean($close, 40)-Mean($close, 30))/$close",local_fallback_mutation,2985,1.0,0.036994482469891746,0.5174550884579054,0.4831557687771051,0.11835770176533389,-0.5684002661095204,4.922493665164114
5,LOCAL_MUT_005,"Slope($close, 2)/$close",local_fallback_mutation,2980,0.998324958123953,0.03125541616380271,0.5132002831413067,0.52474282734584,0.13753045318372092,-0.35439457366658256,4.275392767002165
21,LOCAL_MUT_021,"Slope($vwap, 2)/$close",local_fallback_mutation,2980,0.998324958123953,0.02843624924472391,0.516027686515916,0.38411169492825514,0.07619667763935878,-0.4752996365475901,3.7964616042951245
23,LOCAL_MUT_023,"Resi($close, 8)/$close",local_fallback_mutation,2980,0.998324958123953,0.027597967557574224,0.5206795132120687,0.21353638645411102,0.005720711099527653,-0.5125685685178627,3.525292493363018
42,LOCAL_MUT_042,"(Mean($close, 30)-Mean($close, 20))/$close",local_fallback_mutation,2985,1.0,0.025425461905177173,0.5313126543636594,0.4249105959243288,0.09421544946255955,-0.49302922226968704,3.4759660245455892
72,LOCAL_MUT_072,"(Mean($close, 60)-Mean($close, 30))/$close",local_fallback_mutation,2985,1.0,0.028240103981798912,0.5215656809152509,0.01003585986807443,-0.0732912907897677,-0.5962814945016086,3.3988483376839436
53,LOCAL_MUT_053,"Resi($close, 13)/$close",local_fallback_mutation,2980,0.998324958123953,0.02302513189344293,0.5134470064304788,0.28012092849411935,0.033755268578809616,-0.31734310550759726,3.0431367557072715
28,LOCAL_MUT_028,"(Std($close, 10)-Std($close, 13))/$close",local_fallback_mutation,2980,0.998324958123953,0.017182862257116377,0.5217077431652781,0.951845550651328,0.3475347435776803,-0.405688919162808,3.013789021505293
39,LOCAL_MUT_039,"Mean($close, 40)/$close",local_fallback_mutation,2985,1.0,0.0185953047367776,0.5288784925976335,0.3774140239285603,0.07348987880619706,-0.42310419301869884,2.6088505923418723
56,LOCAL_MUT_056,"(Quantile($close, 10, 0.8)-Quantile($close, 10, 0.2))/($close+1e-12)",local_fallback_mutation,2985,1.0,0.01465130356074059,0.5084978958799041,0.8058173027712305,0.26006894493605004,-0.26521158378897947,2.563973730060101
11,LOCAL_MUT_011,"(Quantile($close, 8, 0.8)-Quantile($close, 8, 0.2))/($close+1e-12)",local_fallback_mutation,2985,1.0,0.007539761119732124,0.5254801020878217,0.9378658567889633,0.3329296770174486,-0.2909721878197826,1.8426371911568182
59,LOCAL_MUT_059,"(Mean($volume, 3)-Mean($volume, 60))/(Mean($volume, 60)+1e-12)",local_fallback_mutation,2985,1.0,0.012100668387875666,0.48523810748421103,0.2942396607832759,0.04172528242171558,-0.42194982200390396,1.746319867328356
15,LOCAL_MUT_015,"(Greater($open,$close)-Less($open,$close))/($close+1e-12)",local_fallback_mutation,2985,1.0,0.009527122964119734,0.5115207981813625,0.40633761402789526,0.08615880288771094,-0.3427341644410008,1.5495923697222636
43,LOCAL_MUT_043,"(Std($close, 40)-Std($close, 2))/$close",local_fallback_mutation,2980,0.998324958123953,0.00873711861236314,0.4990311673070387,-0.034773502543711726,-0.08367137384404844,-0.5846213134503053,1.013680730939865
54,LOCAL_MUT_054,"Mean($close, 8)/$close",local_fallback_mutation,2985,1.0,0.0018329622270766043,0.5229985232605172,0.5842800417838578,0.16545071897697117,-0.34940531243243445,0.8042355090330504
26,LOCAL_MUT_026,"(Quantile($close, 20, 0.8)-Quantile($close, 20, 0.2))/($close+1e-12)",local_fallback_mutation,2985,1.0,0.004465935720443994,0.5051959517303282,0.2213664717474225,0.012363063552222053,-0.5693847307042337,0.7572787582007018
55,LOCAL_MUT_055,"Std($close, 13)/$close",local_fallback_mutation,2980,0.998324958123953,0.000830372611197516,0.5113160783677504,0.46706440919601594,0.10922478301696659,-0.43035245800190536,0.5667091225397178
