proposal_rank,name,expression,reason,samples,coverage,ic_mean,ic_std,sharpe,annual_return,max_drawdown,score
43,LOCAL_MUT_043,"(Std($close, 40)-Std($close, 2))/$close",local_fallback_mutation,2850,0.9982486865148862,0.07893337031171611,0.5655958806421134,1.8948915947082103,1.0207548880738133,-0.35138167217918004,11.366896032114145
26,LOCAL_MUT_026,"(Quantile($close, 20, 0.8)-Quantile($close, 20, 0.2))/($close+1e-12)",local_fallback_mutation,2855,1.0,0.06540712657098885,0.5377195301179969,2.0009343626282132,1.0344664878642762,-0.3177508184480179,9.849789551146875
23,LOCAL_MUT_023,"Resi($close, 8)/$close",local_fallback_mutation,2850,0.9982486865148862,0.0557809956183142,0.5624918168333898,1.3016220667991487,0.5815620575983864,-0.5685009655472244,7.9953415409968525
3,LOCAL_MUT_003,"($open-Ref($close, 3))/Ref($close, 3)",local_fallback_mutation,2840,0.9947460595446584,0.05155807818169983,0.5579646071943922,1.481475021266561,0.6759317725047926,-0.3483528555328146,7.668444403070541
19,LOCAL_MUT_019,"($high-$low)/(Ref($close, 3)+1e-12)",local_fallback_mutation,2840,0.9947460595446584,0.04498287866484783,0.5758049357275266,1.6040200624364753,0.7978433135477521,-0.25818569097000377,7.001965502218214
15,LOCAL_MUT_015,"(Greater($open,$close)-Less($open,$close))/($close+1e-12)",local_fallback_mutation,2855,1.0,0.04032701361833936,0.550839385562191,1.7693676269139644,0.9015474111708441,-0.32588143822294335,6.608609261114688
55,LOCAL_MUT_055,"Std($close, 13)/$close",local_fallback_mutation,2850,0.9982486865148862,0.047549169768319646,0.5557022999776062,0.8997922127919419,0.33720290565855837,-0.33389573162222097,6.605692584990299
4,LOCAL_MUT_004,"($high-$low)/(Ref($close, 13)+1e-12)",local_fallback_mutation,2790,0.9772329246935202,0.03997032694341059,0.5788646079705245,1.563618566854749,0.7686761426104598,-0.25120674323333225,6.36005780006402
64,LOCAL_MUT_064,"($high-$low)/(Ref($close, 20)+1e-12)",local_fallback_mutation,2755,0.9649737302977233,0.038374910776844386,0.5785207088094604,1.5702290546196707,0.7865270353383071,-0.34714214283156297,6.175218347840997
71,LOCAL_MUT_071,"(Quantile($close, 3, 0.8)-Quantile($close, 3, 0.2))/($close+1e-12)",local_fallback_mutation,2855,1.0,0.03928473528490994,0.5559656830551034,1.1203266474367695,0.45959621837081666,-0.46625059470806896,5.834494881625962
