proposal_rank,name,expression,reason,samples,coverage,ic_mean,ic_std,sharpe,annual_return,max_drawdown,score
54,LOCAL_MUT_054,"Mean($close, 8)/$close",local_fallback_mutation,56686,1.0,0.04616983490080063,0.3526399739753992,0.5896064912485817,2.2276143265568837,-0.6127668860869071,6.129986679344658
39,LOCAL_MUT_039,"Mean($close, 40)/$close",local_fallback_mutation,56686,1.0,0.023042011448881853,0.33905190830029636,0.5419767817966757,1.5709009953858826,-0.48956985679117193,3.3070181556624982
52,LOCAL_MUT_052,"Rsquare($close, 13)",local_fallback_mutation,56580,0.9981300497477331,0.005721204733232883,0.18054333978292525,0.3492802145511233,0.06473957357700821,-0.6235303244798125,1.0358247825390692
36,LOCAL_MUT_036,"Slope($vwap, 60)/$close",local_fallback_mutation,56646,0.999294358395371,0.003958062844523917,0.3274645322884415,0.3582010275268618,0.07402435133442342,-0.8730905775312738,0.8331685688697319
58,LOCAL_MUT_058,"(Std($close, 5)-Std($close, 8))/$close",local_fallback_mutation,56646,0.999294358395371,0.0016585565630618956,0.30478600044548826,0.3769354508948746,0.21508495114002524,-0.7115330967821676,0.5759622384623021
6,LOCAL_MUT_006,"Slope($vwap, 40)/$close",local_fallback_mutation,56646,0.999294358395371,-0.001803012564272109,0.3211321195963045,0.358947106052548,0.06379428992883307,-0.8437767301268947,0.1425855983398949
63,LOCAL_MUT_063,"($open-Ref($close, 20))/Ref($close, 20)",local_fallback_mutation,55886,0.9858871679074198,0.004426986890856007,0.3413698178735958,-0.4110277903391502,,-10.783393949813242,0.12021063656357062
7,LOCAL_MUT_007,"Rsquare($close, 2)",local_fallback_mutation,54890,0.9683166919521575,,,,0.0,0.0,0.0
57,LOCAL_MUT_057,"(Mean($close, 40)-Mean($close, 30))/$close",local_fallback_mutation,56686,1.0,0.0025967268195551114,0.3097756256680372,-0.3571084050168237,,-17.673535962529918,-0.04550118667021036
59,LOCAL_MUT_059,"(Mean($volume, 3)-Mean($volume, 60))/(Mean($volume, 60)+1e-12)",local_fallback_mutation,56686,1.0,-0.005973881452341124,0.31769388012482014,0.41292775082241845,0.3906495282482838,-0.741999261290905,-0.30393802345851645
3,LOCAL_MUT_003,"($open-Ref($close, 3))/Ref($close, 3)",local_fallback_mutation,56566,0.997883075186113,0.0009684643111284868,0.33573654969284145,-0.4287976442061431,,-11.948086516961,-0.31258192687072467
14,LOCAL_MUT_014,"(Mean($volume, 8)-Mean($volume, 40))/(Mean($volume, 40)+1e-12)",local_fallback_mutation,56686,1.0,-0.00617985306545566,0.30345201827882146,0.3864369383367835,0.22785219401293344,-0.81997624546681,-0.35514542951789574
44,LOCAL_MUT_044,"(Mean($volume, 40)-Mean($volume, 30))/(Mean($volume, 30)+1e-12)",local_fallback_mutation,56686,1.0,-0.0002600163339517525,0.2743395368168337,-0.4008579486623974,,-17.709605397573938,-0.43205990873660766
28,LOCAL_MUT_028,"(Std($close, 10)-Std($close, 13))/$close",local_fallback_mutation,56646,0.999294358395371,-0.008337794409810624,0.2957105561542966,0.37826459212122404,0.20950658492331597,-0.855274858777952,-0.622270737056051
72,LOCAL_MUT_072,"(Mean($close, 60)-Mean($close, 30))/$close",local_fallback_mutation,56686,1.0,-0.002506040918598189,0.3162431329414389,-0.3547844678090193,,-21.90967374799974,-0.6555093780408019
42,LOCAL_MUT_042,"(Mean($close, 30)-Mean($close, 20))/$close",local_fallback_mutation,56686,1.0,-0.0028346234172409892,0.3040276081436052,-0.3437505643262091,,-27.175343765143072,-0.6839053743951278
48,LOCAL_MUT_048,"($open-Ref($close, 60))/Ref($close, 60)",local_fallback_mutation,54286,0.9576615037222594,-0.0020455971764356145,0.3255017754730451,-0.46208131948485104,,-11.208729230443767,-0.7075529806571248
29,LOCAL_MUT_029,"(Mean($volume, 5)-Mean($volume, 8))/(Mean($volume, 8)+1e-12)",local_fallback_mutation,56686,1.0,-0.004234327372316009,0.2743859220282487,-0.36872486257410353,,-19.942193528241614,-0.8768441472520246
12,LOCAL_MUT_012,"(Mean($close, 10)-Mean($close, 20))/$close",local_fallback_mutation,56686,1.0,-0.0033292387775646992,0.31911094961102826,-0.4780778089023194,,-5.668350051952736,-0.8775864622100833
18,LOCAL_MUT_018,"($open-Ref($close, 10))/Ref($close, 10)",local_fallback_mutation,56286,0.99294358395371,-0.005198397032464179,0.33761831682608356,-0.3991264663709672,,-13.601195263448057,-1.0229341102666687
56,LOCAL_MUT_056,"(Quantile($close, 10, 0.8)-Quantile($close, 10, 0.2))/($close+1e-12)",local_fallback_mutation,56686,1.0,-0.013149444015756242,0.34980844968714037,0.4938304951700428,1.0381991650132218,-0.46222101150803185,-1.0841027867207063
13,LOCAL_MUT_013,"(Std($close, 60)-Std($close, 30))/$close",local_fallback_mutation,56646,0.999294358395371,-0.005921042657852342,0.30535059959880895,-0.3871326241855307,,-22.776800140428413,-1.0976577431278116
26,LOCAL_MUT_026,"(Quantile($close, 20, 0.8)-Quantile($close, 20, 0.2))/($close+1e-12)",local_fallback_mutation,56686,1.0,-0.01329406252644448,0.33399258906315393,0.47683849571433745,0.8930319740743577,-0.6975191740120789,-1.118449007459
15,LOCAL_MUT_015,"(Greater($open,$close)-Less($open,$close))/($close+1e-12)",local_fallback_mutation,56686,1.0,-0.0067420318904151625,0.3717132232169955,-0.373413384612004,,-16.910547480186928,-1.1824572114618235
66,LOCAL_MUT_066,"Slope($vwap, 13)/$close",local_fallback_mutation,56646,0.999294358395371,-0.007078579191634044,0.3351201275199207,-0.47381981081909336,,-8.040009778729324,-1.3232493138151786
11,LOCAL_MUT_011,"(Quantile($close, 8, 0.8)-Quantile($close, 8, 0.2))/($close+1e-12)",local_fallback_mutation,56686,1.0,-0.015411156464261569,0.3546162633918169,0.4727771629810864,0.846560480196831,-0.6358273170831981,-1.376561612730302
55,LOCAL_MUT_055,"Std($close, 13)/$close",local_fallback_mutation,56646,0.999294358395371,-0.01576341795575914,0.36344996979316674,0.4965126036207884,1.0475868799311083,-0.6172200755238499,-1.3950975510703083
33,LOCAL_MUT_033,"($open-Ref($close, 40))/Ref($close, 40)",local_fallback_mutation,55086,0.9717743358148396,-0.00974544898731817,0.3329634371484955,-0.4629316567790191,,-6.680233468175888,-1.6323855352571996
70,LOCAL_MUT_070,"Std($close, 3)/$close",local_fallback_mutation,56646,0.999294358395371,-0.01797029271410917,0.37553236361105197,0.4569430651162249,0.7084007451323955,-0.7145819831691507,-1.6994920605768755
